          ;       14285;   ;Filtro    ;Inicio                                  ;29052013      ;125840;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
          ;       14285;   ;Filtro    ;tbk_param.txt                           ;29052013      ;125840;10.170.1.9     ;OK ;                    ;Archivo parseado                                                        
          ;       14285;   ;Filtro    ;Terminado                               ;29052013      ;125840;10.170.1.9     ;OK ;                    ;Datos Filtrados con exito                                               
          ;       14285;   ;sanitiza  ;inicio                                  ;29052013      ;125840;10.170.1.9     ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       14285;   ;sanitiza  ;Array                                   ;29052013      ;125840;10.170.1.9     ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       14285;   ;sanitiza  ;Fin                                     ;29052013      ;125840;10.170.1.9     ;Ok ;                    ;Sanitizacion exitosa                                                    
9846720617;       14285;   ;pago      ;inicio                                  ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;Parseo realizado                                                        
9846720617;       14285;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9846720617;       14285;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;Mac generado                                                            
9846720617;       14285;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9846720617;       14285;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9846720617;       14285;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;Datos listos para ser enviados                                          
9846720617;       14285;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;Medio 2: Por redireccion                                                
9846720617;       14285;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;Redireccion web                                                         
9846720617;       14285;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;125840;10.170.1.9     ;OK ;597026007976        ;Todo OK                                                                 
          ;       14519;   ;Filtro    ;Inicio                                  ;29052013      ;130603;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
          ;       14519;   ;Filtro    ;tbk_param.txt                           ;29052013      ;130603;10.170.1.9     ;OK ;                    ;Archivo parseado                                                        
          ;       14519;   ;Filtro    ;Terminado                               ;29052013      ;130603;10.170.1.9     ;OK ;                    ;Datos Filtrados con exito                                               
          ;       14519;   ;sanitiza  ;inicio                                  ;29052013      ;130603;10.170.1.9     ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       14519;   ;sanitiza  ;Array                                   ;29052013      ;130603;10.170.1.9     ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       14519;   ;sanitiza  ;Fin                                     ;29052013      ;130603;10.170.1.9     ;Ok ;                    ;Sanitizacion exitosa                                                    
9847163739;       14519;   ;pago      ;inicio                                  ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;Parseo realizado                                                        
9847163739;       14519;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9847163739;       14519;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;Mac generado                                                            
9847163739;       14519;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9847163739;       14519;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9847163739;       14519;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;Datos listos para ser enviados                                          
9847163739;       14519;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;Medio 2: Por redireccion                                                
9847163739;       14519;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;Redireccion web                                                         
9847163739;       14519;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;130603;10.170.1.9     ;OK ;597026007976        ;Todo OK                                                                 
          ;       14802;   ;Filtro    ;Inicio                                  ;29052013      ;131358;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
          ;       14802;   ;Filtro    ;tbk_param.txt                           ;29052013      ;131358;10.170.1.9     ;OK ;                    ;Archivo parseado                                                        
          ;       14802;   ;Filtro    ;Terminado                               ;29052013      ;131358;10.170.1.9     ;OK ;                    ;Datos Filtrados con exito                                               
          ;       14802;   ;sanitiza  ;inicio                                  ;29052013      ;131358;10.170.1.9     ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       14802;   ;sanitiza  ;Array                                   ;29052013      ;131358;10.170.1.9     ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       14802;   ;sanitiza  ;Fin                                     ;29052013      ;131358;10.170.1.9     ;Ok ;                    ;Sanitizacion exitosa                                                    
9847638177;       14802;   ;pago      ;inicio                                  ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;Parseo realizado                                                        
9847638177;       14802;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9847638177;       14802;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;Mac generado                                                            
9847638177;       14802;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9847638177;       14802;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9847638177;       14802;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;Datos listos para ser enviados                                          
9847638177;       14802;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;Medio 2: Por redireccion                                                
9847638177;       14802;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;Redireccion web                                                         
9847638177;       14802;   ;pago      ;https://certificacion.webpay.cl         ;29052013      ;131358;10.170.1.9     ;OK ;597026007976        ;Todo OK                                                                 
          ;       14839;   ;Filtro    ;Inicio                                  ;29052013      ;131501;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
