          ;        9955;   ;Filtro    ;Inicio                                  ;30052013      ;101805;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
          ;        9955;   ;Filtro    ;tbk_param.txt                           ;30052013      ;101805;10.170.1.9     ;OK ;                    ;Archivo parseado                                                        
          ;        9955;   ;Filtro    ;Terminado                               ;30052013      ;101805;10.170.1.9     ;OK ;                    ;Datos Filtrados con exito                                               
          ;        9955;   ;sanitiza  ;inicio                                  ;30052013      ;101805;10.170.1.9     ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        9955;   ;sanitiza  ;Array                                   ;30052013      ;101805;10.170.1.9     ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        9955;   ;sanitiza  ;Fin                                     ;30052013      ;101805;10.170.1.9     ;Ok ;                    ;Sanitizacion exitosa                                                    
9923485848;        9955;   ;pago      ;inicio                                  ;30052013      ;101805;10.170.1.9     ;OK ;597026007976        ;Parseo realizado                                                        
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101805;10.170.1.9     ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101805;10.170.1.9     ;OK ;597026007976        ;Mac generado                                                            
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101805;10.170.1.9     ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101805;10.170.1.9     ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101805;10.170.1.9     ;OK ;597026007976        ;Datos listos para ser enviados                                          
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101805;10.170.1.9     ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101814;10.170.1.9     ;OK ;597026007976        ;Datos validados                                                         
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101814;10.170.1.9     ;OK ;597026007976        ;Token=ed6e22d7080219e9abb4ec5e7f622a6e3b2fdcf2237b46f717c45e7f41bb684d  
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101814;10.170.1.9     ;OK ;597026007976        ;Redireccion web                                                         
9923485848;        9955;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;101814;10.170.1.9     ;OK ;597026007976        ;Todo OK                                                                 
          ;       10336;   ;Filtro    ;Inicio                                  ;30052013      ;103328;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
          ;       10336;   ;Filtro    ;tbk_param.txt                           ;30052013      ;103328;10.170.1.9     ;OK ;                    ;Archivo parseado                                                        
          ;       10336;   ;Filtro    ;Terminado                               ;30052013      ;103328;10.170.1.9     ;OK ;                    ;Datos Filtrados con exito                                               
          ;       10336;   ;sanitiza  ;inicio                                  ;30052013      ;103328;10.170.1.9     ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       10336;   ;sanitiza  ;Array                                   ;30052013      ;103328;10.170.1.9     ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       10336;   ;sanitiza  ;Fin                                     ;30052013      ;103328;10.170.1.9     ;Ok ;                    ;Sanitizacion exitosa                                                    
9924408604;       10336;   ;pago      ;inicio                                  ;30052013      ;103328;10.170.1.9     ;OK ;597026007976        ;Parseo realizado                                                        
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103328;10.170.1.9     ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103328;10.170.1.9     ;OK ;597026007976        ;Mac generado                                                            
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103328;10.170.1.9     ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103328;10.170.1.9     ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103328;10.170.1.9     ;OK ;597026007976        ;Datos listos para ser enviados                                          
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103328;10.170.1.9     ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103340;10.170.1.9     ;OK ;597026007976        ;Datos validados                                                         
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103340;10.170.1.9     ;OK ;597026007976        ;Token=e5927cf3afbf771e831408593608dc402f2f7601884c5836e7245750e5fe4d92  
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103340;10.170.1.9     ;OK ;597026007976        ;Redireccion web                                                         
9924408604;       10336;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103340;10.170.1.9     ;OK ;597026007976        ;Todo OK                                                                 
          ;       10505;   ;Filtro    ;Inicio                                  ;30052013      ;103808;10.170.1.9     ;OK ;                    ;Inicio de filtrado                                                      
          ;       10505;   ;Filtro    ;tbk_param.txt                           ;30052013      ;103808;10.170.1.9     ;OK ;                    ;Archivo parseado                                                        
          ;       10505;   ;Filtro    ;Terminado                               ;30052013      ;103808;10.170.1.9     ;OK ;                    ;Datos Filtrados con exito                                               
          ;       10505;   ;sanitiza  ;inicio                                  ;30052013      ;103808;10.170.1.9     ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       10505;   ;sanitiza  ;Array                                   ;30052013      ;103809;10.170.1.9     ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       10505;   ;sanitiza  ;Fin                                     ;30052013      ;103809;10.170.1.9     ;Ok ;                    ;Sanitizacion exitosa                                                    
9924689055;       10505;   ;pago      ;inicio                                  ;30052013      ;103809;10.170.1.9     ;OK ;597026007976        ;Parseo realizado                                                        
9924689055;       10505;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103809;10.170.1.9     ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9924689055;       10505;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103809;10.170.1.9     ;OK ;597026007976        ;Mac generado                                                            
9924689055;       10505;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103809;10.170.1.9     ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9924689055;       10505;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103809;10.170.1.9     ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9924689055;       10505;   ;pago      ;https://certificacion.webpay.cl         ;30052013      ;103809;10.170.1.9     ;OK ;597026007976        ;Datos listos para ser enviados                                          
